THETA2,MCF_x,MCF_y,IFP_x,IFP_y,IFD_x,IFD_y,PF_x,PF_y,D3_x,D3_y,Pa_x,Pa_y,P3_x,P3_y,THETAfp,THETAfm,THETAfd
23.000,-9.0000,-20.0000,-57.5251,-26.8053,-81.2174,-37.5139,-91.4445,-59.2258,-77.4272,-2.7198,-69.6866,-26.4912,-98.4957,-5.8689,187.983,204.322,244.778
24.000,-9.0000,-20.0000,-57.4845,-27.0889,-81.0915,-37.9843,-91.1112,-59.7927,-77.6330,-3.1556,-69.6476,-26.8460,-98.6191,-6.4767,188.318,204.775,245.324
25.000,-9.0000,-20.0000,-57.4421,-27.3732,-80.9615,-38.4565,-90.7706,-60.3604,-77.8388,-3.5960,-69.6064,-27.2017,-98.7397,-7.0895,188.654,205.232,245.876
26.000,-9.0000,-20.0000,-57.3978,-27.6584,-80.8273,-38.9304,-90.4225,-60.9288,-78.0445,-4.0412,-69.5629,-27.5585,-98.8572,-7.7074,188.992,205.692,246.434
27.000,-9.0000,-20.0000,-57.3517,-27.9442,-80.6890,-39.4060,-90.0670,-61.4979,-78.2501,-4.4911,-69.5172,-27.9162,-98.9716,-8.3304,189.330,206.157,246.999
28.000,-9.0000,-20.0000,-57.3038,-28.2308,-80.5464,-39.8833,-89.7037,-62.0676,-78.4555,-4.9458,-69.4692,-28.2749,-99.0829,-8.9585,189.670,206.627,247.570
29.000,-9.0000,-20.0000,-57.2539,-28.5180,-80.3994,-40.3623,-89.3328,-62.6377,-78.6607,-5.4055,-69.4189,-28.6346,-99.1910,-9.5917,190.011,207.100,248.147
30.000,-9.0000,-20.0000,-57.2022,-28.8060,-80.2481,-40.8429,-88.9540,-63.2082,-78.8657,-5.8702,-69.3663,-28.9951,-99.2957,-10.2302,190.353,207.578,248.731
31.000,-9.0000,-20.0000,-57.1486,-29.0945,-80.0923,-41.3251,-88.5672,-63.7790,-79.0704,-6.3400,-69.3113,-29.3565,-99.3970,-10.8738,190.696,208.061,249.322
32.000,-9.0000,-20.0000,-57.0931,-29.3837,-79.9320,-41.8089,-88.1724,-64.3498,-79.2748,-6.8150,-69.2540,-29.7188,-99.4948,-11.5228,191.041,208.548,249.919
33.000,-9.0000,-20.0000,-57.0356,-29.6735,-79.7671,-42.2942,-87.7695,-64.9208,-79.4788,-7.2954,-69.1943,-30.0819,-99.5891,-12.1771,191.386,209.039,250.523
34.000,-9.0000,-20.0000,-56.9762,-29.9639,-79.5976,-42.7810,-87.3582,-65.4916,-79.6824,-7.7811,-69.1322,-30.4459,-99.6796,-12.8367,191.733,209.535,251.134
35.000,-9.0000,-20.0000,-56.9149,-30.2549,-79.4233,-43.2692,-86.9387,-66.0622,-79.8855,-8.2723,-69.0677,-30.8106,-99.7664,-13.5016,192.080,210.036,251.751
36.000,-9.0000,-20.0000,-56.8516,-30.5464,-79.2442,-43.7589,-86.5106,-66.6324,-80.0880,-8.7691,-69.0008,-31.1761,-99.8493,-14.1720,192.429,210.542,252.376
37.000,-9.0000,-20.0000,-56.7863,-30.8384,-79.0603,-44.2499,-86.0740,-67.2022,-80.2898,-9.2715,-68.9314,-31.5423,-99.9282,-14.8479,192.779,211.053,253.008
38.000,-9.0000,-20.0000,-56.7190,-31.1310,-78.8714,-44.7423,-85.6288,-67.7714,-80.4910,-9.7798,-68.8596,-31.9092,-100.0030,-15.5292,193.130,211.568,253.647
39.000,-9.0000,-20.0000,-56.6497,-31.4240,-78.6776,-45.2360,-85.1748,-68.3398,-80.6914,-10.2940,-68.7853,-32.2768,-100.0736,-16.2160,193.482,212.089,254.293
40.000,-9.0000,-20.0000,-56.5784,-31.7175,-78.4787,-45.7309,-84.7119,-68.9073,-80.8909,-10.8141,-68.7085,-32.6451,-100.1399,-16.9084,193.835,212.614,254.947
